"Table 9.7a   Annual pay - Gross (Â£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
Bournemouth West,E14000585,41,"24,161",,"26,448",-3.6,"9,188",x,x,"17,469","21,008","26,744","30,489",x,x,x,,,,,,,,
Bridgwater and West Somerset,E14000595,32,"21,415",14.0,"25,992",5.3,"5,997","8,931","10,554","12,092","17,845","25,235","32,148","34,689",x,x,,,,,,,,
Bristol East,E14000599,22,"21,007",-1.2,"26,952",3.5,x,"11,615","13,369","15,417","19,152","25,608","32,649","35,339",x,x,,,,,,,,
Bristol North West,E14000600,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Bristol South,E14000601,24,"23,758",5.4,"27,972",3.5,x,"12,198","14,071","16,466","19,504","26,706","29,172","30,292",x,x,,,,,,,,
Bristol West,E14000602,136,"29,063",2.6,"33,443",-1.1,"11,063","17,779","19,580","21,236","25,617","32,572","37,757","41,212","44,942",x,,,,,,,,
Camborne and Redruth,E14000616,25,"21,420",3.7,"23,585",8.0,x,x,x,"15,130","17,812","24,703",x,x,x,x,,,,,,,,
Central Devon,E14000623,23,"19,826",-6.6,"23,423",-1.2,"6,533","8,844","10,469","13,006","16,692","22,508","26,835","30,823",x,x,,,,,,,,
Cheltenham,E14000630,44,"25,257",6.3,"28,602",7.3,x,x,x,x,"21,038",x,x,x,x,x,,,,,,,,
Chippenham,E14000635,31,"22,645",-1.0,"29,549",11.6,"6,999","10,794","12,823","14,549","20,001","27,004","32,269","37,983",x,x,,,,,,,,
Christchurch,E14000638,27,"22,819",2.7,"28,759",,"8,579","12,952","15,906","17,215","19,927","28,485","35,173","38,777","41,402",x,,,,,,,,
Devizes,E14000665,21,"23,463",3.7,"26,803",3.0,x,"13,105","15,275","18,065","21,784","26,637","32,281","35,125",x,x,,,,,,,,
East Devon,E14000678,45,"24,415",-6.7,"28,225",-2.0,"8,118","13,182","15,547","17,510","21,537","28,549","33,281","36,472","39,220",x,,,,,,,,
Exeter,E14000698,64,"23,358",6.5,"26,150",6.0,"7,736","11,926","14,733","17,063","20,338","26,478","31,193","33,414","36,544",x,,,,,,,,
Filton and Bradley Stoke,E14000702,52,"29,013",-6.2,"31,680",-4.2,x,x,x,x,"23,951","33,527","38,895",x,x,x,,,,,,,,
Forest of Dean,E14000705,18,"20,452",,"22,599",4.7,x,"9,457","11,280","12,678","15,937","22,179","25,297",x,x,x,,,,,,,,
Gloucester,E14000712,50,"22,971",-1.5,"28,533",3.2,"6,968","10,994","12,909","14,824","18,813","27,545","31,564","36,543","40,473",x,,,,,,,,
Kingswood,E14000774,34,"18,545",-17.1,"22,110",-10.2,"5,823","9,173","10,871","11,881","15,260","22,345","26,947","29,071","32,158",x,,,,,,,,
Mid Dorset and North Poole,E14000815,19,"22,463",6.1,"32,837",14.7,"8,163","12,303","14,861","16,387","19,440","27,636",x,x,x,x,,,,,,,,
Newton Abbot,E14000835,22,"19,223",0.3,"21,972",2.3,"8,503","11,722","13,317","16,010","17,452","21,855","25,960","28,577",x,x,,,,,,,,
North Cornwall,E14000837,26,"20,258",7.6,"22,820",4.5,"7,875","11,544","13,417","14,816","17,678","23,831","27,402","30,329","33,709",x,,,,,,,,
North Devon,E14000838,34,"20,267",1.2,"22,785",-1.7,x,x,"12,713","14,785","17,689","23,175","26,077","28,772",x,x,,,,,,,,
North Dorset,E14000839,26,x,,"25,279",-0.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
North East Somerset,E14000846,x,x,,"25,584",4.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
North Somerset,E14000850,29,"24,052",-1.0,"28,438",3.6,x,x,x,x,"20,523","28,202","33,252",x,x,x,,,,,,,,
North Swindon,E14000851,38,"26,908",2.7,"28,941",-6.4,x,x,"17,620","19,532","23,006","30,700","33,641","35,820","40,094",x,,,,,,,,
North Wiltshire,E14000860,27,"25,574",11.2,"29,613",3.5,x,"11,306","14,862","17,469","21,605","30,168","36,273","40,253",x,x,,,,,,,,
"Plymouth, Moor View",E14000879,37,"25,037",1.4,"28,869",8.7,x,"15,070","16,851","18,054","21,430","28,597","32,403","34,999","38,369",x,,,,,,,,
"Plymouth, Sutton and Devonport",E14000880,41,"20,570",-12.1,"24,218",-7.2,"7,686","10,909","12,704","14,577","17,812","23,489","27,834","29,449","32,205",x,,,,,,,,
Poole,E14000881,47,"25,246",8.0,"28,768",5.7,"8,506","13,635","15,779","17,419","21,746","28,460","33,369","36,198","39,741",x,,,,,,,,
Salisbury,E14000912,x,"21,662",0.2,"26,370",0.5,x,"10,024","12,120","15,842","19,044",x,x,x,x,x,,,,,,,,
Somerton and Frome,E14000932,21,"24,131",-3.8,"26,893",-2.9,"8,350","14,235","16,506","18,118","21,516","28,619","31,545","34,272","38,720",x,,,,,,,,
South Dorset,E14000936,35,"17,593",10.4,"20,963",15.6,"4,689","6,839","8,028","9,409","14,578","21,574","26,365","29,970","31,395",x,,,,,,,,
South East Cornwall,E14000938,20,"19,467",5.5,"20,667",6.3,x,"11,168","12,391","14,298","17,114","21,958","24,443","27,061",x,x,,,,,,,,
South Swindon,E14000947,52,"25,221",11.2,"30,262",8.8,"8,245","14,588","16,422","18,672","21,868","29,439","33,659","37,430","41,372",x,,,,,,,,
South West Devon,E14000950,x,"21,616",3.7,"23,737",0.8,x,"11,716","13,690","15,646","19,419",x,x,x,x,x,,,,,,,,
South West Wiltshire,E14000954,46,"18,816",-5.2,"21,420",-2.2,x,x,x,x,x,"22,417","26,721",x,x,x,,,,,,,,
St Austell and Newquay,E14000961,24,"17,846",-2.8,"20,900",-0.2,"6,799","9,370","11,776","13,372","16,124","20,882","25,584","27,515",x,x,,,,,,,,
St Ives,E14000964,x,x,,"17,094",-7.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Stroud,E14000980,38,"25,674",1.3,"26,954",3.7,"7,800","13,424","16,747","18,838","21,632","29,645","32,928","35,730","37,528",x,,,,,,,,
Taunton Deane,E14000988,50,"19,864",5.2,"22,016",3.2,x,"8,159","10,556","12,450","16,112","23,460","27,601","30,138","32,320",x,,,,,,,,
Tewkesbury,E14000990,42,"28,548",8.0,"31,156",2.1,x,x,x,x,"23,051","33,277","38,243",x,x,x,,,,,,,,
The Cotswolds,E14000991,34,"21,601",-1.9,x,,"7,689","11,779","12,864","15,260","18,381","25,757","30,722","33,939","39,631",x,,,,,,,,
Thornbury and Yate,E14000994,31,"24,247",5.8,"27,237",1.2,"9,428","13,323","14,427","16,260","20,793","28,160","33,124","34,887","38,596",x,,,,,,,,
Tiverton and Honiton,E14000996,25,"19,019",-1.5,"20,357",0.1,"6,392","9,081","10,746","12,524","15,978","22,697","25,433","28,327","31,200",x,,,,,,,,
Torbay,E14000999,28,"18,315",21.4,"22,281",25.1,"6,738","9,002","10,233","13,116","16,151","21,369","26,432","29,849","33,072",x,,,,,,,,
Torridge and West Devon,E14001000,21,"17,090",,x,,"5,110","8,539","9,918","11,229","14,523","20,174","23,470","24,496",x,x,,,,,,,,
Totnes,E14001001,20,x,,"19,669",-1.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Truro and Falmouth,E14001003,41,"22,017",7.5,"24,590",4.8,"7,373","10,954","13,327",x,"19,227","24,825","29,470",x,x,x,,,,,,,,
Wells,E14001026,28,"17,778",4.9,"20,225",2.9,x,"8,371",x,x,"15,000",x,x,x,x,x,,,,,,,,
West Dorset,E14001031,38,"21,414",3.9,"26,221",6.4,x,x,"14,103","16,378","18,908","26,323","31,348","34,096",x,x,,,,,,,,
Weston-Super-Mare,E14001038,29,"20,543",8.3,"23,647",4.0,x,"10,403","12,892","15,771","18,481","23,129","26,061","28,233",x,x,,,,,,,,
Yeovil,E14001060,41,"23,899",7.8,"26,434",8.9,"9,038","12,995","15,034","17,507","20,184","27,785","31,235","33,697","36,418",x,,,,,,,,
Wales ,W92000004,988,"22,701",4.9,"25,649",3.5,"7,988","12,452","14,776","16,608","19,553","26,050","30,920","33,866","36,739","44,333",,,,,,,,
Aberavon,W07000049,23,"28,072",-0.2,"28,091",1.1,"10,112","14,658","16,855","18,942","23,203","31,891","35,454","37,255","39,480",x,,,,,,,,
Aberconwy,W07000058,x,"20,164",9.7,"22,016",3.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Alyn and Deeside,W07000043,41,"26,893",7.3,"28,894",4.3,"9,083","16,282","18,037","19,666","23,144","31,403","36,434","38,988","40,170",x,,,,,,,,
Arfon,W07000057,24,"20,448",4.0,"24,542",5.5,x,"11,401","14,135","16,398","18,276","24,896","27,917","30,084","34,042",x,,,,,,,,
Blaenau Gwent,W07000072,15,"20,306",1.9,"23,722",6.7,"6,950",x,x,"14,509","19,148","23,029","29,380","32,220",x,x,,,,,,,,
Brecon and Radnorshire,W07000068,18,"23,239",12.4,"24,319",8.9,x,"12,073","14,654","16,806","19,345","26,580","29,769","31,345",x,x,,,,,,,,
Bridgend,W07000073,32,"24,991",1.0,"27,156",-1.6,"9,153","15,254","16,812","18,812","21,950","29,619","34,773","37,327","39,230",x,,,,,,,,
Caerphilly,W07000076,25,"22,462",3.1,"23,740",0.1,x,"9,923","13,912","15,912","20,396","24,322","27,222","29,228","32,172",x,,,,,,,,
Cardiff Central,W07000050,54,"23,001",3.9,"27,476",-0.7,"6,939","11,465","12,931","15,960","19,633","26,787","31,713","35,706","38,816",x,,,,,,,,
Cardiff North,W07000051,43,"23,408",14.0,"27,781",14.1,"10,100","15,109","16,411","17,937","20,216","25,890","31,201","36,520","38,984",x,,,,,,,,
Cardiff South and Penarth,W07000080,64,"25,907",3.9,"30,451",3.8,"10,601","15,878","17,718","19,765","22,807","30,516","34,910","37,151","40,000",x,,,,,,,,
Cardiff West,W07000079,20,"20,617",,"23,408",-10.4,x,x,"10,512","12,465","15,468","25,882","31,377","34,156",x,x,,,,,,,,
Carmarthen East and Dinefwr,W07000067,15,"20,755",2.0,"23,958",9.4,x,"13,879","14,969","15,895","18,813","23,837","26,652",x,x,x,,,,,,,,
Carmarthen West and South Pembrokeshire,W07000066,24,"20,564",4.3,"25,245",-0.2,"7,436","11,886","13,924","15,190","18,448","24,224","30,166","33,445",x,x,,,,,,,,
Ceredigion,W07000064,22,"20,337",2.7,"21,687",0.0,x,"7,809","10,117",x,"16,929","24,406","27,126","29,686","32,993",x,,,,,,,,
Clwyd South,W07000062,12,"19,731",-0.5,"23,550",5.2,x,"10,814","12,488","13,640","15,675","22,322",x,x,x,x,,,,,,,,
Clwyd West,W07000059,15,"20,398",,"23,142",4.3,x,x,"14,055","14,628","18,145","23,127",x,x,x,x,,,,,,,,
Cynon Valley,W07000070,12,"18,742",8.2,"22,413",20.8,x,x,"12,752","14,664","16,685","21,879",x,x,x,x,,,,,,,,
Delyn,W07000042,20,"20,790",3.6,"23,175",4.6,x,"10,521","12,499","14,199","18,431","23,677","27,269","30,158",x,x,,,,,,,,
Dwyfor Meirionnydd,W07000061,9,"16,404",8.0,"18,626",8.3,x,"9,365","11,044","12,569","14,851","19,281",x,x,x,x,,,,,,,,
Gower,W07000046,13,"18,185",7.5,"22,769",0.9,x,"9,586","11,573","12,089","15,035","22,460",x,x,x,x,,,,,,,,
Islwyn,W07000077,17,"23,386",4.7,"28,032",0.9,x,"13,498","16,047","17,979","20,298","27,553","32,968","34,977",x,x,,,,,,,,
Llanelli,W07000045,22,"21,980",-1.3,"25,441",-1.4,"8,925","11,972","14,672","17,597","19,883","24,540","27,844","31,149",x,x,,,,,,,,
Merthyr Tydfil and Rhymney,W07000071,21,"21,436",3.8,"24,693",-3.6,x,"11,455","14,521","16,143","18,182","23,471","26,907",x,x,x,,,,,,,,
Monmouth,W07000054,24,"23,386",5.0,"26,122",8.2,"7,626","13,267","15,922","16,984","20,118","28,120","32,806","33,886","37,981",x,,,,,,,,
Montgomeryshire,W07000063,16,"19,577",2.2,"21,845",3.0,x,"12,442","14,392","15,573","17,507","22,696","25,613","27,446",x,x,,,,,,,,
Neath,W07000069,13,"20,077",,"22,987",7.5,x,"11,491","12,419","13,729","16,124","22,477",x,x,x,x,,,,,,,,
Newport East,W07000055,21,"23,977",3.0,"26,676",9.5,x,"12,349","16,293","17,572","20,468","30,860","34,961","36,245","38,403",x,,,,,,,,
Newport West,W07000056,49,"23,777",2.7,"26,908",2.1,"9,020","13,371","15,516","17,134","19,561","26,951","31,390","34,638","38,250",x,,,,,,,,
Ogmore,W07000074,13,"23,117",14.7,"24,580",1.1,x,x,x,"17,350","21,005","25,460","29,618","33,074",x,x,,,,,,,,
Pontypridd,W07000075,36,"23,523",4.3,"27,499",2.1,x,"14,158","15,036","16,453","19,980","28,054","32,247","36,074",x,x,,,,,,,,
Preseli Pembrokeshire,W07000065,22,"20,644",8.3,"24,174",6.3,x,"13,559","15,353","15,841","18,889","23,363","27,714","31,352",x,x,,,,,,,,
Rhondda,W07000052,12,"19,287",3.0,"22,975",3.1,x,x,"12,724","14,063","17,076","22,458",x,x,x,x,,,,,,,,
Swansea East,W07000048,42,"22,603",5.6,"23,888",1.1,"6,775","12,651","14,851","17,128","19,451","24,386","28,150","30,013","32,717",x,,,,,,,,
Swansea West,W07000047,35,"22,777",,"24,453",-0.6,"7,749","11,892","13,861","15,380","19,110","27,791","29,826","33,076","36,061",x,,,,,,,,
Torfaen,W07000053,24,"22,399",-3.0,"25,372",-0.4,"10,153","13,495","15,982","17,114","19,176","25,669","30,978","34,957","36,494",x,,,,,,,,
Vale of Clwyd,W07000060,22,"23,393",3.9,"24,906",3.0,"10,222","13,600","15,116","16,470","18,280","26,097","31,478","34,350","36,369",x,,,,,,,,
Vale of Glamorgan,W07000078,19,"22,178",7.1,"26,841",4.2,"7,579","11,129","13,915","16,329","18,992","25,767","29,378",x,x,x,,,,,,,,
Wrexham,W07000044,42,"23,833",4.9,"26,373",5.9,"9,141","12,381","14,782","17,054","20,100","27,747","32,240","35,429","36,703",x,,,,,,,,
Ynys MÃ´n,W07000041,16,"20,906",3.5,"24,140",7.4,"8,648","11,928","14,760","15,854","18,604","24,957","29,790","33,847",x,x,,,,,,,,
Scotland,S92000003,"1,964","24,559",2.9,"28,660",1.7,"8,400","13,279","15,629","17,600","21,000","28,794","33,483","36,445","39,431","49,403",,,,,,,,
Aberdeen North,S14000001,59,"23,625",4.6,"29,960",6.4,"7,663","12,485","14,998","17,369","20,383","28,965","34,007","37,186","40,275",x,,,,,,,,
Aberdeen South,S14000002,36,"29,110",7.2,"35,666",3.9,"8,668","14,298","17,893","20,668","24,757","32,613","41,368","45,035","48,014",x,,,,,,,,
Airdrie and Shotts,S14000003,26,"25,849",3.1,"31,133",2.4,"11,040","16,392","18,647","20,354","23,731","29,000","33,124","36,144","37,391",x,,,,,,,,
Angus,S14000004,25,x,,"26,520",7.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Argyll and Bute,S14000005,23,"20,758",-4.2,"22,822",-7.7,x,"8,934","10,205","11,984","16,227","24,719","28,796","32,447","35,923",x,,,,,,,,
"Ayr, Carrick and Cumnock",S14000006,26,"24,168",4.6,"26,206",1.4,x,"12,396","13,297","16,401","20,518","30,004","33,757","35,268","37,297",x,,,,,,,,
Banff and Buchan,S14000007,26,"20,420",-6.9,"22,981",2.4,"6,524","10,424","13,053","14,657","17,553","23,064","28,067","29,967","31,874",x,,,,,,,,
"Berwickshire, Roxburgh and Selkirk",S14000008,32,"21,289",2.5,"23,884",1.2,"7,808","12,673","14,352","16,347","18,662","24,093","27,828","28,894","31,050",x,,,,,,,,
"Caithness, Sutherland and Easter Ross",S14000009,19,x,,"25,446",-0.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Central Ayrshire,S14000010,29,"25,055",3.5,"28,402",-1.6,"7,910","12,959","13,968","16,091","21,375","28,950","33,743","36,010","39,827",x,,,,,,,,
"Coatbridge, Chryston and Bellshill",S14000011,31,"27,304",,"29,296",1.7,"10,287","14,641","17,468","19,003","23,557","30,634","34,356","35,853","40,138",x,,,,,,,,
"Cumbernauld, Kilsyth and Kirkintilloch East",S14000012,21,"21,937",4.9,x,,x,"11,985","13,759","16,453","19,120","25,730","29,545","32,131",x,x,,,,,,,,
Dumfries and Galloway,S14000013,31,"20,700",0.3,"22,957",-2.9,"8,475","11,755","13,814","16,222","18,213","23,303","27,244","28,805","32,806",x,,,,,,,,
"Dumfriesshire, Clydesdale and Tweeddale",S14000014,20,"19,770",4.0,"25,517",5.4,x,"12,523","14,125","15,403","17,341","22,106","26,271",x,x,x,,,,,,,,
Dundee East,S14000015,17,"24,243",,"25,401",-0.1,"6,746",x,"14,275","17,159","19,146","27,190","30,991","33,370",x,x,,,,,,,,
Dundee West,S14000016,55,"24,108",0.2,"26,709",-2.7,x,"14,963","16,868","18,505","21,344","29,075","32,211","34,076","36,305",x,,,,,,,,
Dunfermline and West Fife,S14000017,29,"23,977",2.9,"29,060",5.0,"8,759","12,975","14,419",x,"20,368","29,495",x,x,x,x,,,,,,,,
East Dunbartonshire,S14000018,14,"17,890",-2.9,"21,344",3.3,x,"11,060","12,100","13,082","16,479","22,862","25,924",x,x,x,,,,,,,,
"East Kilbride, Strathaven and Lesmahagow",S14000019,31,"24,550",4.2,"27,008",-2.9,"8,954","13,231","14,736","17,305","20,932","28,493","32,076","34,420","36,414",x,,,,,,,,
East Lothian,S14000020,26,"23,387",4.3,"27,144",6.6,x,"14,643","15,938","17,590","21,847","28,246","31,749","34,689",x,x,,,,,,,,
East Renfrewshire,S14000021,16,"19,309",6.0,"23,685",7.1,x,"8,566","10,898","12,656","16,425","23,569","26,636",x,x,x,,,,,,,,
Edinburgh East,S14000022,80,"24,645",-1.8,"28,809",2.1,"8,180","12,942","16,249","17,953","21,852","28,383","34,790","38,122","41,098",x,,,,,,,,
Edinburgh North and Leith,S14000023,67,"26,042",0.6,"34,077",3.0,"7,428","12,000","14,893","16,749","21,608","30,969","37,858","42,197","47,426",x,,,,,,,,
Edinburgh South,S14000024,21,"27,390",20.4,"33,161",5.6,x,"14,513","15,548","17,215","22,044","33,532","39,300",x,x,x,,,,,,,,
Edinburgh South West,S14000025,60,"32,154",2.1,"38,403",0.6,"13,738","18,660","21,622","23,593","27,528","38,131","45,960","48,947",x,x,,,,,,,,
Edinburgh West,S14000026,39,"26,393",1.8,"30,387",-2.5,x,"17,252","18,712","19,689","23,177","30,682","33,851","38,399","41,967",x,,,,,,,,
Falkirk,S14000028,36,"24,269",1.0,"28,499",5.0,"8,239","11,725","14,529","16,548","20,652","28,786","34,335","36,056","38,364",x,,,,,,,,
Glasgow Central,S14000029,193,"26,623",8.3,"30,839",4.8,"9,538","15,766","17,881","19,457","22,529","31,031","36,673","39,220","43,207",x,,,,,,,,
Glasgow East,S14000030,27,"25,479",4.1,"27,206",3.5,x,x,x,x,"21,132",x,x,x,x,x,,,,,,,,
Glasgow North,S14000031,24,"27,458",6.4,"29,088",3.5,x,"12,004","14,828","17,628","20,953","30,927","34,064","36,453",x,x,,,,,,,,
Glasgow North East,S14000032,27,"22,918",8.0,"24,292",-1.5,"6,683","11,254","12,766","15,756","19,056","26,107","29,845","31,811","35,281",x,,,,,,,,
Glasgow North West,S14000033,19,"25,975",23.7,"28,712",18.9,x,"16,899","18,000","19,527","22,969","29,470","32,727","36,816",x,x,,,,,,,,
Glasgow South,S14000034,9,"26,385",10.0,"27,987",15.0,x,x,"15,350",x,x,"32,049","36,346",x,x,x,,,,,,,,
Glasgow South West,S14000035,38,"25,489",-4.4,"34,196",3.8,"10,344","14,064","17,093","19,035","22,758","29,397","36,220","39,013",x,x,,,,,,,,
Glenrothes,S14000036,36,"21,988",-0.8,"23,733",-1.2,"8,787","13,136","14,419","16,515","19,882","25,239","28,665","31,909","35,062",x,,,,,,,,
Gordon,S14000037,42,"27,231",2.4,"32,921",4.1,x,"11,991","15,169","17,955","23,134","31,938","36,480","39,203","45,567",x,,,,,,,,
Inverclyde,S14000038,18,"19,627",-8.8,"26,273",-4.6,x,"10,595","12,020","13,284","17,382","24,650","31,734",x,x,x,,,,,,,,
"Inverness, Nairn, Badenoch and Strathspey",S14000039,50,"24,607",5.2,"27,105",2.2,"7,250","12,264","14,625","17,239","20,626","29,340","32,904","35,100","38,199",x,,,,,,,,
Kilmarnock and Loudoun,S14000040,29,"21,796",-1.6,"23,249",-2.0,"7,237","9,425","11,905","14,547","18,689","25,638","30,029","31,923","34,649",x,,,,,,,,
Kirkcaldy and Cowdenbeath,S14000041,23,"20,160",-6.0,"23,431",-0.7,"7,485","10,597","12,808","14,614","16,808","24,355","30,191","33,032","35,873",x,,,,,,,,
Lanark and Hamilton East,S14000042,42,"23,366",-2.6,"26,311",0.5,"6,395","10,903","13,801","16,867","19,782","28,242","33,270","36,389","38,745",x,,,,,,,,
Linlithgow and East Falkirk,S14000043,30,"28,647",5.7,"29,905",-0.1,"9,240","14,657","17,417","20,035","24,921","31,651","34,899","37,234","41,727",x,,,,,,,,
Livingston,S14000044,49,"24,264",-6.9,"29,113",-13.8,x,"15,698","17,348","18,994","21,446","29,381","33,757","36,159","39,239",x,,,,,,,,
Midlothian,S14000045,28,x,,"28,297",4.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Moray,S14000046,29,"22,345",-0.1,"24,879",-1.0,"7,202","11,309","13,331","14,637","18,027","26,311","30,967","34,254","36,480",x,,,,,,,,
Motherwell and Wishaw,S14000047,28,"23,550",7.4,"27,216",8.6,"7,493","12,089","14,930","16,433","20,180","28,628","33,992","36,610","37,906",x,,,,,,,,
Na h-Eileanan an Iar,S14000027,10,"23,482",13.3,"24,514",10.1,x,"13,170","14,356","16,787","20,632","25,810",x,x,x,x,,,,,,,,
North Ayrshire and Arran,S14000048,16,"23,093",-0.6,"24,853",2.5,"9,224","13,580","14,808","16,745","19,089","25,997","28,861","30,608",x,x,,,,,,,,
North East Fife,S14000049,21,x,,"25,236",-5.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Ochil and South Perthshire,S14000050,24,"22,002",6.5,"24,428",7.9,"8,188","11,863","14,343","16,437","19,079","25,506","29,617","31,372","36,343",x,,,,,,,,
Orkney and Shetland,S14000051,18,"23,973",,"26,428",0.0,x,x,x,"15,638","19,764","29,894","33,701","36,175",x,x,,,,,,,,
Paisley and Renfrewshire North,S14000052,46,"23,640",4.2,"26,963",4.2,"8,623","13,452","15,626","17,818","20,635","26,813","30,680","32,725","35,826",x,,,,,,,,
Paisley and Renfrewshire South,S14000053,19,"22,675",2.5,"28,914",3.6,"8,144","12,732","14,882","16,955","21,328","28,368","32,147","34,502",x,x,,,,,,,,
Perth and North Perthshire,S14000054,44,"23,985",2.1,"27,294",1.7,"9,960","14,520","16,301","18,020","20,990","27,992","31,651","33,940","35,903",x,,,,,,,,
"Ross, Skye and Lochaber",S14000055,17,"21,299",6.2,"23,286",7.5,x,"11,744","14,094","15,659","19,192","25,997","29,869","30,225",x,x,,,,,,,,
Rutherglen and Hamilton West,S14000056,19,"22,833",5.0,"26,672",5.3,x,"15,611","16,988","18,622","20,638","27,487","31,293","32,607",x,x,,,,,,,,
Stirling,S14000057,37,"25,493",6.6,"31,195",9.3,"8,432","14,496","17,042","18,761","21,875","30,490","37,671","39,785","42,162",x,,,,,,,,
West Aberdeenshire and Kincardine,S14000058,26,"28,609",11.2,"35,035",,"10,137","14,768","19,130","20,698","23,858","34,249","40,536",x,x,x,,,,,,,,
West Dunbartonshire,S14000059,32,"24,040",-0.6,"27,377",1.9,x,x,x,x,"20,271","28,620","33,260",x,x,x,,,,,,,,
Northern Ireland,N92000002,731,"22,459",1.8,"26,232",2.3,"8,058","12,626","14,538","16,383","19,265","26,274","30,693","33,165","36,880","44,812",,,,,,,,
a  Employees on adult rates who have been in the same job for more than a year.,,,,,,,,,,,,,,,,,,,,,,,,
b  Figures for Number of Jobs are for indicative purposes only and should not be considered an accurate estimate of employee job counts.,,,,,,,,,,,,,,,,,,,,,,,,
"KEY - The colour coding indicates the quality of each estimate;  jobs, median, mean and percentiles but not the annual percentage change. ",,,,,,,,,,,,,,,,,,,,,,,,
"The quality of an estimate is measured by its coefficient of variation (CV), which is the ratio of the standard error of an estimate to the estimate.",,,,,,,,,,,,,,,,,,,,,,,,
"Source: Annual Survey of Hours and Earnings, Office for National Statistics.",,,,,,,,,,,,,,,,,,,,,,,,