,,,,
Registers of Scotland,,,,
Data and statistics,,,,
,,,,
"Table 4: Median residential property price by UK Parliamentary constituency: Scotland, 2004 to 2018, calendar year data",,,,
"These statistics include all residential sales in Scotland between £20,000 and £1,000,000, and are based on date of registration with Registers of Scotland.",,,,
Scroll up for more data,,,,
Year,United Kingdom Parliamentary constituency code,United Kingdom Parliamentary constituency name,Median residential property price (£),
2004,S14000001,Aberdeen North                                    ,"65,000",
2004,S14000002,Aberdeen South                                    ,"85,000",
2004,S14000003,Airdrie and Shotts                                ,"65,000",
2004,S14000004,Angus                                             ,"65,000",
2004,S14000005,Argyll and Bute                                   ,"80,000",
2004,S14000006,"Ayr, Carrick and Cumnock                          ","81,000",
2004,S14000007,Banff and Buchan                                  ,"60,000",
2004,S14000008,"Berwickshire, Roxburgh and Selkirk                ","86,166",
2004,S14000009,"Caithness, Sutherland and Easter Ross             ","70,000",
2004,S14000010,Central Ayrshire                                  ,"76,750",
2004,S14000011,"Coatbridge, Chryston and Bellshill                ","82,500",
2004,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","67,100",
2004,S14000013,Dumfries and Galloway                             ,"83,000",
2004,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","103,000",
2004,S14000015,Dundee East                                       ,"87,147",
2004,S14000016,Dundee West                                       ,"62,100",
2004,S14000017,Dunfermline and West Fife                         ,"84,500",
2004,S14000018,East Dunbartonshire                               ,"146,659",
2004,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","77,500",
2004,S14000020,East Lothian                                      ,"115,000",
2004,S14000021,East Renfrewshire                                 ,"142,000",
2004,S14000022,Edinburgh East                                    ,"123,000",
2004,S14000023,Edinburgh North and Leith                         ,"149,995",
2004,S14000024,Edinburgh South                                   ,"166,000",
2004,S14000025,Edinburgh South West                              ,"120,000",
2004,S14000026,Edinburgh West                                    ,"133,000",
2004,S14000027,Na h-Eileanan an Iar                              ,"60,000",
2004,S14000028,Falkirk                                           ,"75,600",
2004,S14000029,Glasgow Central                                   ,"110,000",
2004,S14000030,Glasgow East                                      ,"67,210",
2004,S14000031,Glasgow North                                     ,"138,139",
2004,S14000032,Glasgow North East                                ,"72,500",
2004,S14000033,Glasgow North West                                ,"105,000",
2004,S14000034,Glasgow South                                     ,"102,057",
2004,S14000035,Glasgow South West                                ,"72,000",
2004,S14000036,Glenrothes                                        ,"60,000",
2004,S14000037,Gordon                                            ,"105,000",
2004,S14000038,Inverclyde                                        ,"71,675",
2004,S14000039,"Inverness, Nairn, Badenoch and Strathspey         ","98,818",
2004,S14000040,Kilmarnock and Loudoun                            ,"68,000",
2004,S14000041,Kirkcaldy and Cowdenbeath                         ,"73,500",
2004,S14000042,Lanark and Hamilton East                          ,"78,077",
2004,S14000043,Linlithgow and East Falkirk                       ,"83,500",
2004,S14000044,Livingston                                        ,"91,050",
2004,S14000045,Midlothian                                        ,"95,167",
2004,S14000046,Moray                                             ,"75,000",
2004,S14000047,Motherwell and Wishaw                             ,"69,000",
2004,S14000048,North Ayrshire and Arran                          ,"73,250",
2004,S14000049,North East Fife                                   ,"115,000",
2004,S1400005 ,Orkney and Shetland                               ,"64,000",
2004,S14000050,Ochil and South Perthshire                        ,"92,500",
2004,S14000052,Paisley and Renfrewshire North                    ,"82,000",
2004,S14000053,Paisley and Renfrewshire South                    ,"69,995",
2004,S14000054,Perth and North Perthshire                        ,"90,500",
2004,S14000055,"Ross, Skye and Lochaber                           ","97,000",
2004,S14000056,Rutherglen and Hamilton West                      ,"93,000",
2004,S14000057,Stirling                                          ,"109,150",
2004,S14000058,West Aberdeenshire and Kincardine                 ,"122,995",
2004,S14000059,West Dunbartonshire                               ,"70,111",
2005,S14000001,Aberdeen North                                    ,"74,500",
2005,S14000002,Aberdeen South                                    ,"97,000",
2005,S14000003,Airdrie and Shotts                                ,"70,000",
2005,S14000004,Angus                                             ,"77,000",
2005,S14000005,Argyll and Bute                                   ,"100,000",
2005,S14000006,"Ayr, Carrick and Cumnock                          ","90,700",
2005,S14000007,Banff and Buchan                                  ,"70,000",
2005,S14000008,"Berwickshire, Roxburgh and Selkirk                ","91,160",
2005,S14000009,"Caithness, Sutherland and Easter Ross             ","79,000",
2005,S14000010,Central Ayrshire                                  ,"87,000",
2005,S14000011,"Coatbridge, Chryston and Bellshill                ","95,000",
2005,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","80,000",
2005,S14000013,Dumfries and Galloway                             ,"91,995",
2005,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","109,500",
2005,S14000015,Dundee East                                       ,"98,250",
2005,S14000016,Dundee West                                       ,"73,500",
2005,S14000017,Dunfermline and West Fife                         ,"90,000",
2005,S14000018,East Dunbartonshire                               ,"162,000",
2005,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","89,000",
2005,S14000020,East Lothian                                      ,"130,500",
2005,S14000021,East Renfrewshire                                 ,"145,000",
2005,S14000022,Edinburgh East                                    ,"130,000",
2005,S14000023,Edinburgh North and Leith                         ,"157,500",
2005,S14000024,Edinburgh South                                   ,"175,000",
2005,S14000025,Edinburgh South West                              ,"120,000",
2005,S14000026,Edinburgh West                                    ,"142,000",
2005,S14000027,Na h-Eileanan an Iar                              ,"73,000",
2005,S14000028,Falkirk                                           ,"85,000",
2005,S14000029,Glasgow Central                                   ,"117,734",
2005,S14000030,Glasgow East                                      ,"75,000",
2005,S14000031,Glasgow North                                     ,"140,000",
2005,S14000032,Glasgow North East                                ,"82,000",
2005,S14000033,Glasgow North West                                ,"120,500",
2005,S14000034,Glasgow South                                     ,"105,000",
2005,S14000035,Glasgow South West                                ,"81,000",
2005,S14000036,Glenrothes                                        ,"70,000",
2005,S14000037,Gordon                                            ,"125,000",
2005,S14000038,Inverclyde                                        ,"80,000",
2005,S14000039,"Inverness, Nairn, Badenoch and Strathspey         ","110,000",
2005,S14000040,Kilmarnock and Loudoun                            ,"75,000",
2005,S14000041,Kirkcaldy and Cowdenbeath                         ,"82,975",
2005,S14000042,Lanark and Hamilton East                          ,"87,000",
2005,S14000043,Linlithgow and East Falkirk                       ,"90,000",
2005,S14000044,Livingston                                        ,"95,000",
2005,S14000045,Midlothian                                        ,"110,000",
2005,S14000046,Moray                                             ,"87,495",
2005,S14000047,Motherwell and Wishaw                             ,"75,000",
2005,S14000048,North Ayrshire and Arran                          ,"75,000",
2005,S14000049,North East Fife                                   ,"129,995",
2005,S1400005 ,Orkney and Shetland                               ,"77,000",
2005,S14000050,Ochil and South Perthshire                        ,"105,000",
2005,S14000052,Paisley and Renfrewshire North                    ,"90,000",
2005,S14000053,Paisley and Renfrewshire South                    ,"75,700",
2005,S14000054,Perth and North Perthshire                        ,"101,000",
2005,S14000055,"Ross, Skye and Lochaber                           ","110,000",
2005,S14000056,Rutherglen and Hamilton West                      ,"99,000",
2005,S14000057,Stirling                                          ,"115,000",
2005,S14000058,West Aberdeenshire and Kincardine                 ,"139,995",
2005,S14000059,West Dunbartonshire                               ,"80,000",
2006,S14000001,Aberdeen North                                    ,"93,188",
2006,S14000002,Aberdeen South                                    ,"120,000",
2006,S14000003,Airdrie and Shotts                                ,"81,995",
2006,S14000004,Angus                                             ,"88,544",
2006,S14000005,Argyll and Bute                                   ,"110,000",
2006,S14000006,"Ayr, Carrick and Cumnock                          ","107,000",
2006,S14000007,Banff and Buchan                                  ,"86,253",
2006,S14000008,"Berwickshire, Roxburgh and Selkirk                ","117,150",
2006,S14000009,"Caithness, Sutherland and Easter Ross             ","92,000",
2006,S14000010,Central Ayrshire                                  ,"99,000",
2006,S14000011,"Coatbridge, Chryston and Bellshill                ","105,000",
2006,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","85,000",
2006,S14000013,Dumfries and Galloway                             ,"106,000",
2006,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","121,778",
2006,S14000015,Dundee East                                       ,"119,300",
2006,S14000016,Dundee West                                       ,"86,181",
2006,S14000017,Dunfermline and West Fife                         ,"98,000",
2006,S14000018,East Dunbartonshire                               ,"171,000",
2006,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","98,750",
2006,S14000020,East Lothian                                      ,"145,000",
2006,S14000021,East Renfrewshire                                 ,"155,000",
2006,S14000022,Edinburgh East                                    ,"140,000",
2006,S14000023,Edinburgh North and Leith                         ,"171,600",
2006,S14000024,Edinburgh South                                   ,"193,000",
2006,S14000025,Edinburgh South West                              ,"141,000",
2006,S14000026,Edinburgh West                                    ,"162,331",
2006,S14000027,Na h-Eileanan an Iar                              ,"75,000",
2006,S14000028,Falkirk                                           ,"95,000",
2006,S14000029,Glasgow Central                                   ,"120,000",
2006,S14000030,Glasgow East                                      ,"85,000",
2006,S14000031,Glasgow North                                     ,"150,000",
2006,S14000032,Glasgow North East                                ,"94,250",
2006,S14000033,Glasgow North West                                ,"123,000",
2006,S14000034,Glasgow South                                     ,"112,000",
2006,S14000035,Glasgow South West                                ,"94,400",
2006,S14000036,Glenrothes                                        ,"80,050",
2006,S14000037,Gordon                                            ,"143,000",
2006,S14000038,Inverclyde                                        ,"87,170",
2006,S14000039,"Inverness, Nairn, Badenoch and Strathspey         ","135,000",
2006,S14000040,Kilmarnock and Loudoun                            ,"90,000",
2006,S14000041,Kirkcaldy and Cowdenbeath                         ,"91,000",
2006,S14000042,Lanark and Hamilton East                          ,"98,000",
2006,S14000043,Linlithgow and East Falkirk                       ,"105,000",
2006,S14000044,Livingston                                        ,"105,000",
2006,S14000045,Midlothian                                        ,"124,500",
2006,S14000046,Moray                                             ,"97,000",
2006,S14000047,Motherwell and Wishaw                             ,"86,000",
2006,S14000048,North Ayrshire and Arran                          ,"87,300",
2006,S14000049,North East Fife                                   ,"150,000",
2006,S1400005 ,Orkney and Shetland                               ,"85,000",
2006,S14000050,Ochil and South Perthshire                        ,"124,000",
2006,S14000052,Paisley and Renfrewshire North                    ,"101,000",
2006,S14000053,Paisley and Renfrewshire South                    ,"87,000",
2006,S14000054,Perth and North Perthshire                        ,"120,000",
2006,S14000055,"Ross, Skye and Lochaber                           ","133,250",
2006,S14000056,Rutherglen and Hamilton West                      ,"112,000",
2006,S14000057,Stirling                                          ,"124,995",
2006,S14000058,West Aberdeenshire and Kincardine                 ,"166,773",
2006,S14000059,West Dunbartonshire                               ,"85,000",
2007,S14000001,Aberdeen North                                    ,"125,000",
2007,S14000002,Aberdeen South                                    ,"160,000",
2007,S14000003,Airdrie and Shotts                                ,"87,000",
2007,S14000004,Angus                                             ,"110,950",
2007,S14000005,Argyll and Bute                                   ,"127,500",
2007,S14000006,"Ayr, Carrick and Cumnock                          ","123,000",
2007,S14000007,Banff and Buchan                                  ,"116,000",
2007,S14000008,"Berwickshire, Roxburgh and Selkirk                ","131,500",
2007,S14000009,"Caithness, Sutherland and Easter Ross             ","100,000",
2007,S14000010,Central Ayrshire                                  ,"115,000",
2007,S14000011,"Coatbridge, Chryston and Bellshill                ","114,500",
2007,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","98,000",
2007,S14000013,Dumfries and Galloway                             ,"120,000",
2007,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","135,063",
2007,S14000015,Dundee East                                       ,"140,000",
2007,S14000016,Dundee West                                       ,"105,000",
2007,S14000017,Dunfermline and West Fife                         ,"120,000",
2007,S14000018,East Dunbartonshire                               ,"190,000",
2007,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","115,000",
2007,S14000020,East Lothian                                      ,"168,063",
2007,S14000021,East Renfrewshire                                 ,"168,000",
2007,S14000022,Edinburgh East                                    ,"151,157",
2007,S14000023,Edinburgh North and Leith                         ,"184,250",
2007,S14000024,Edinburgh South                                   ,"206,000",
2007,S14000025,Edinburgh South West                              ,"160,000",
2007,S14000026,Edinburgh West                                    ,"180,000",
2007,S14000027,Na h-Eileanan an Iar                              ,"86,000",
2007,S14000028,Falkirk                                           ,"108,000",
2007,S14000029,Glasgow Central                                   ,"133,000",
2007,S14000030,Glasgow East                                      ,"95,000",
2007,S14000031,Glasgow North                                     ,"163,000",
2007,S14000032,Glasgow North East                                ,"110,995",
2007,S14000033,Glasgow North West                                ,"140,114",
2007,S14000034,Glasgow South                                     ,"122,313",
2007,S14000035,Glasgow South West                                ,"107,000",
2007,S14000036,Glenrothes                                        ,"90,000",
2007,S14000037,Gordon                                            ,"185,000",
2007,S14000038,Inverclyde                                        ,"95,300",
2007,S14000039,"Inverness, Nairn, Badenoch and Strathspey         ","152,000",
2007,S14000040,Kilmarnock and Loudoun                            ,"108,000",
2007,S14000041,Kirkcaldy and Cowdenbeath                         ,"102,000",
2007,S14000042,Lanark and Hamilton East                          ,"108,000",
2007,S14000043,Linlithgow and East Falkirk                       ,"120,000",
2007,S14000044,Livingston                                        ,"120,000",
2007,S14000045,Midlothian                                        ,"140,000",
2007,S14000046,Moray                                             ,"125,000",
2007,S14000047,Motherwell and Wishaw                             ,"93,500",
2007,S14000048,North Ayrshire and Arran                          ,"99,000",
2007,S14000049,North East Fife                                   ,"165,000",
2007,S1400005 ,Orkney and Shetland                               ,"97,750",
2007,S14000050,Ochil and South Perthshire                        ,"140,000",
2007,S14000052,Paisley and Renfrewshire North                    ,"119,000",
2007,S14000053,Paisley and Renfrewshire South                    ,"98,500",
2007,S14000054,Perth and North Perthshire                        ,"138,652",
2007,S14000055,"Ross, Skye and Lochaber                           ","151,000",
2007,S14000056,Rutherglen and Hamilton West                      ,"113,000",
2007,S14000057,Stirling                                          ,"140,000",
2007,S14000058,West Aberdeenshire and Kincardine                 ,"205,000",
2007,S14000059,West Dunbartonshire                               ,"92,000",
2008,S14000001,Aberdeen North                                    ,"125,000",
2008,S14000002,Aberdeen South                                    ,"160,000",
2008,S14000003,Airdrie and Shotts                                ,"95,500",
2008,S14000004,Angus                                             ,"110,000",
2008,S14000005,Argyll and Bute                                   ,"125,000",
2008,S14000006,"Ayr, Carrick and Cumnock                          ","115,000",
2008,S14000007,Banff and Buchan                                  ,"124,000",
2008,S14000008,"Berwickshire, Roxburgh and Selkirk                ","127,500",
2008,S14000009,"Caithness, Sutherland and Easter Ross             ","101,000",
2008,S14000010,Central Ayrshire                                  ,"110,000",
2008,S14000011,"Coatbridge, Chryston and Bellshill                ","102,000",
2008,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","103,498",
2008,S14000013,Dumfries and Galloway                             ,"123,850",
2008,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","135,000",
2008,S14000015,Dundee East                                       ,"144,950",
2008,S14000016,Dundee West                                       ,"96,000",
2008,S14000017,Dunfermline and West Fife                         ,"122,000",
2008,S14000018,East Dunbartonshire                               ,"185,000",
2008,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","120,000",
2008,S14000020,East Lothian                                      ,"165,000",
2008,S14000021,East Renfrewshire                                 ,"180,000",
2008,S14000022,Edinburgh East                                    ,"156,750",
2008,S14000023,Edinburgh North and Leith                         ,"180,000",
2008,S14000024,Edinburgh South                                   ,"206,000",
2008,S14000025,Edinburgh South West                              ,"155,000",
2008,S14000026,Edinburgh West                                    ,"171,000",
2008,S14000027,Na h-Eileanan an Iar                              ,"90,000",
2008,S14000028,Falkirk                                           ,"108,000",
2008,S14000029,Glasgow Central                                   ,"125,000",
2008,S14000030,Glasgow East                                      ,"102,998",
2008,S14000031,Glasgow North                                     ,"159,000",
2008,S14000032,Glasgow North East                                ,"108,750",
2008,S14000033,Glasgow North West                                ,"134,995",
2008,S14000034,Glasgow South                                     ,"121,000",
2008,S14000035,Glasgow South West                                ,"95,000",
2008,S14000036,Glenrothes                                        ,"92,000",
2008,S14000037,Gordon                                            ,"191,285",
2008,S14000038,Inverclyde                                        ,"99,443",
2008,S14000039,"Inverness, Nairn, Badenoch and Strathspey         ","154,000",
2008,S14000040,Kilmarnock and Loudoun                            ,"108,500",
2008,S14000041,Kirkcaldy and Cowdenbeath                         ,"107,000",
2008,S14000042,Lanark and Hamilton East                          ,"113,500",
2008,S14000043,Linlithgow and East Falkirk                       ,"120,000",
2008,S14000044,Livingston                                        ,"122,000",
2008,S14000045,Midlothian                                        ,"147,000",
2008,S14000046,Moray                                             ,"125,000",
2008,S14000047,Motherwell and Wishaw                             ,"94,748",
2008,S14000048,North Ayrshire and Arran                          ,"105,000",
2008,S14000049,North East Fife                                   ,"160,000",
2008,S1400005 ,Orkney and Shetland                               ,"100,556",
2008,S14000050,Ochil and South Perthshire                        ,"137,500",
2008,S14000052,Paisley and Renfrewshire North                    ,"125,000",
2008,S14000053,Paisley and Renfrewshire South                    ,"100,000",
2008,S14000054,Perth and North Perthshire                        ,"135,000",
2008,S14000055,"Ross, Skye and Lochaber                           ","148,000",
2008,S14000056,Rutherglen and Hamilton West                      ,"113,250",
2008,S14000057,Stirling                                          ,"150,000",
2008,S14000058,West Aberdeenshire and Kincardine                 ,"210,000",
2008,S14000059,West Dunbartonshire                               ,"98,500",
2009,S14000001,Aberdeen North                                    ,"125,525",
2009,S14000002,Aberdeen South                                    ,"157,750",
2009,S14000003,Airdrie and Shotts                                ,"95,000",
2009,S14000004,Angus                                             ,"108,000",
2009,S14000005,Argyll and Bute                                   ,"125,000",
2009,S14000006,"Ayr, Carrick and Cumnock                          ","115,000",
2009,S14000007,Banff and Buchan                                  ,"125,000",
2009,S14000008,"Berwickshire, Roxburgh and Selkirk                ","128,000",
2009,S14000009,"Caithness, Sutherland and Easter Ross             ","106,000",
2009,S14000010,Central Ayrshire                                  ,"110,000",
2009,S14000011,"Coatbridge, Chryston and Bellshill                ","95,000",
2009,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","94,000",
2009,S14000013,Dumfries and Galloway                             ,"111,007",
2009,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","140,000",
2009,S14000015,Dundee East                                       ,"135,000",
2009,S14000016,Dundee West                                       ,"95,000",
2009,S14000017,Dunfermline and West Fife                         ,"112,000",
2009,S14000018,East Dunbartonshire                               ,"170,000",
2009,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","103,000",
2009,S14000020,East Lothian                                      ,"153,000",
2009,S14000021,East Renfrewshire                                 ,"170,000",
2009,S14000022,Edinburgh East                                    ,"150,000",
2009,S14000023,Edinburgh North and Leith                         ,"167,495",
2009,S14000024,Edinburgh South                                   ,"195,000",
2009,S14000025,Edinburgh South West                              ,"145,000",
2009,S14000026,Edinburgh West                                    ,"171,500",
2009,S14000027,Na h-Eileanan an Iar                              ,"88,000",
2009,S14000028,Falkirk                                           ,"100,000",
2009,S14000029,Glasgow Central                                   ,"120,000",
2009,S14000030,Glasgow East                                      ,"92,500",
2009,S14000031,Glasgow North                                     ,"155,000",
2009,S14000032,Glasgow North East                                ,"89,950",
2009,S14000033,Glasgow North West                                ,"120,000",
2009,S14000034,Glasgow South                                     ,"115,000",
2009,S14000035,Glasgow South West                                ,"86,000",
2009,S14000036,Glenrothes                                        ,"90,000",
2009,S14000037,Gordon                                            ,"178,623",
2009,S14000038,Inverclyde                                        ,"90,000",
2009,S14000039,"Inverness, Nairn, Badenoch and Strathspey         ","145,500",
2009,S14000040,Kilmarnock and Loudoun                            ,"95,000",
2009,S14000041,Kirkcaldy and Cowdenbeath                         ,"105,000",
2009,S14000042,Lanark and Hamilton East                          ,"108,000",
2009,S14000043,Linlithgow and East Falkirk                       ,"118,059",
2009,S14000044,Livingston                                        ,"119,000",
2009,S14000045,Midlothian                                        ,"142,888",
2009,S14000046,Moray                                             ,"126,000",
2009,S14000047,Motherwell and Wishaw                             ,"90,900",
2009,S14000048,North Ayrshire and Arran                          ,"97,250",
2009,S14000049,North East Fife                                   ,"160,000",
2009,S1400005 ,Orkney and Shetland                               ,"100,000",
2009,S14000050,Ochil and South Perthshire                        ,"135,000",
2009,S14000052,Paisley and Renfrewshire North                    ,"123,456",
2009,S14000053,Paisley and Renfrewshire South                    ,"88,000",
2009,S14000054,Perth and North Perthshire                        ,"136,000",
2009,S14000055,"Ross, Skye and Lochaber                           ","145,000",
2009,S14000056,Rutherglen and Hamilton West                      ,"107,000",
2009,S14000057,Stirling                                          ,"143,000",
2009,S14000058,West Aberdeenshire and Kincardine                 ,"200,000",
2009,S14000059,West Dunbartonshire                               ,"87,000",
2010,S14000001,Aberdeen North                                    ,"130,000",
2010,S14000002,Aberdeen South                                    ,"165,000",
2010,S14000003,Airdrie and Shotts                                ,"95,000",
2010,S14000004,Angus                                             ,"115,000",
2010,S14000005,Argyll and Bute                                   ,"125,000",
2010,S14000006,"Ayr, Carrick and Cumnock                          ","114,000",
2010,S14000007,Banff and Buchan                                  ,"128,000",
2010,S14000008,"Berwickshire, Roxburgh and Selkirk                ","128,000",
2010,S14000009,"Caithness, Sutherland and Easter Ross             ","105,000",
2010,S14000010,Central Ayrshire                                  ,"115,050",
2010,S14000011,"Coatbridge, Chryston and Bellshill                ","95,000",
2010,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","96,000",
2010,S14000013,Dumfries and Galloway                             ,"122,000",
2010,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","140,000",
2010,S14000015,Dundee East                                       ,"138,000",
2010,S14000016,Dundee West                                       ,"95,000",
2010,S14000017,Dunfermline and West Fife                         ,"115,000",
2010,S14000018,East Dunbartonshire                               ,"180,000",
2010,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","115,000",
2010,S14000020,East Lothian                                      ,"165,000",
2010,S14000021,East Renfrewshire                                 ,"173,750",
2010,S14000022,Edinburgh East                                    ,"150,000",
2010,S14000023,Edinburgh North and Leith                         ,"181,000",
2010,S14000024,Edinburgh South                                   ,"224,900",
2010,S14000025,Edinburgh South West                              ,"150,000",
2010,S14000026,Edinburgh West                                    ,"185,000",
2010,S14000027,Na h-Eileanan an Iar                              ,"86,250",
2010,S14000028,Falkirk                                           ,"105,000",
2010,S14000029,Glasgow Central                                   ,"120,000",
2010,S14000030,Glasgow East                                      ,"89,995",
2010,S14000031,Glasgow North                                     ,"170,000",
2010,S14000032,Glasgow North East                                ,"86,306",
2010,S14000033,Glasgow North West                                ,"124,995",
2010,S14000034,Glasgow South                                     ,"115,000",
2010,S14000035,Glasgow South West                                ,"85,000",
2010,S14000036,Glenrothes                                        ,"84,995",
2010,S14000037,Gordon                                            ,"180,495",
2010,S14000038,Inverclyde                                        ,"96,000",
2010,S14000039,"Inverness, Nairn, Badenoch and Strathspey         ","154,450",
2010,S14000040,Kilmarnock and Loudoun                            ,"95,000",
2010,S14000041,Kirkcaldy and Cowdenbeath                         ,"100,000",
2010,S14000042,Lanark and Hamilton East                          ,"105,000",
2010,S14000043,Linlithgow and East Falkirk                       ,"115,000",
2010,S14000044,Livingston                                        ,"115,000",
2010,S14000045,Midlothian                                        ,"147,500",
2010,S14000046,Moray                                             ,"123,000",
2010,S14000047,Motherwell and Wishaw                             ,"90,000",
2010,S14000048,North Ayrshire and Arran                          ,"100,000",
2010,S14000049,North East Fife                                   ,"165,000",
2010,S1400005 ,Orkney and Shetland                               ,"105,000",
2010,S14000050,Ochil and South Perthshire                        ,"132,500",
2010,S14000052,Paisley and Renfrewshire North                    ,"115,000",
2010,S14000053,Paisley and Renfrewshire South                    ,"89,748",
2010,S14000054,Perth and North Perthshire                        ,"135,804",
2010,S14000055,"Ross, Skye and Lochaber                           ","135,000",
2010,S14000056,Rutherglen and Hamilton West                      ,"112,000",
2010,S14000057,Stirling                                          ,"140,300",
2010,S14000058,West Aberdeenshire and Kincardine                 ,"217,250",
2010,S14000059,West Dunbartonshire                               ,"90,998",
2011,S14000001,Aberdeen North                                    ,"135,000",
2011,S14000002,Aberdeen South                                    ,"167,000",
2011,S14000003,Airdrie and Shotts                                ,"87,250",
2011,S14000004,Angus                                             ,"112,000",
2011,S14000005,Argyll and Bute                                   ,"122,119",
2011,S14000006,"Ayr, Carrick and Cumnock                          ","119,500",
2011,S14000007,Banff and Buchan                                  ,"130,000",
2011,S14000008,"Berwickshire, Roxburgh and Selkirk                ","135,000",
2011,S14000009,"Caithness, Sutherland and Easter Ross             ","100,000",
2011,S14000010,Central Ayrshire                                  ,"112,000",
2011,S14000011,"Coatbridge, Chryston and Bellshill                ","100,000",
2011,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East       ","93,500",
2011,S14000013,Dumfries and Galloway                             ,"116,000",
2011,S14000014,"Dumfriesshire, Clydesdale and Tweeddale           ","135,000",
2011,S14000015,Dundee East                                       ,"135,000",
2011,S14000016,Dundee West                                       ,"95,000",
2011,S14000017,Dunfermline and West Fife                         ,"114,277",
2011,S14000018,East Dunbartonshire                               ,"180,000",
2011,S14000019,"East Kilbride, Strathaven and Lesmahagow          ","114,950",
2011,S14000020,East Lothian                                      ,"158,250",
2011,S14000021,East Renfrewshire                                 ,"170,000",
2011,S14000022,Edinburgh East                                    ,"147,250",
2011,S14000023,Edinburgh North and Leith                         ,"179,998",
2011,S14000024,Edinburgh South                                   ,"220,000",
2011,S14000025,Edinburgh South West                              ,"156,995",
2011,S14000026,Edinburgh West                                    ,"190,000",
2011,S14000027,Na h-Eileanan an Iar                              ,"87,250",
